cfe_result,disregards,restrictions,extra_employment_information,decision
eligible,FALSE,FALSE,FALSE,eligible
eligible,TRUE,FALSE,FALSE,eligible
eligible,FALSE,TRUE,FALSE,eligible
eligible,FALSE,FALSE,TRUE,eligible_manual_check_employment
eligible,TRUE,TRUE,FALSE,eligible
eligible,TRUE,FALSE,TRUE,eligible_manual_check_employment
eligible,FALSE,TRUE,TRUE,eligible_manual_check_employment
eligible,TRUE,TRUE,TRUE,eligible_manual_check_employment
not_eligible,FALSE,FALSE,FALSE,not_eligible
not_eligible,TRUE,FALSE,FALSE,not_eligible
not_eligible,FALSE,TRUE,FALSE,not_eligible
not_eligible,FALSE,FALSE,TRUE,manual_check_employment
not_eligible,TRUE,TRUE,FALSE,not_eligible
not_eligible,TRUE,FALSE,TRUE,manual_check_disregards_employment
not_eligible,FALSE,TRUE,TRUE,manual_check_restrictions_employment
not_eligible,TRUE,TRUE,TRUE,manual_check_disregards_restrictions_employment
capital_contribution_required,FALSE,FALSE,FALSE,capital_contribution_required
capital_contribution_required,TRUE,FALSE,FALSE,manual_check_disregards
capital_contribution_required,FALSE,TRUE,FALSE,manual_check_required
capital_contribution_required,FALSE,FALSE,TRUE,manual_check_employment
capital_contribution_required,TRUE,TRUE,FALSE,manual_check_disregards_restrictions
capital_contribution_required,TRUE,FALSE,TRUE,manual_check_disregards_employment
capital_contribution_required,FALSE,TRUE,TRUE,manual_check_restrictions_employment
capital_contribution_required,TRUE,TRUE,TRUE,manual_check_disregards_restrictions_employment
income_contribution_required,FALSE,FALSE,FALSE,income_contribution_required
income_contribution_required,TRUE,FALSE,FALSE,manual_check_disregards
income_contribution_required,FALSE,TRUE,FALSE,manual_check_required
income_contribution_required,FALSE,FALSE,TRUE,manual_check_employment
income_contribution_required,TRUE,TRUE,FALSE,manual_check_disregards_restrictions
income_contribution_required,TRUE,FALSE,TRUE,manual_check_disregards_employment
income_contribution_required,FALSE,TRUE,TRUE,manual_check_restrictions_employment
income_contribution_required,TRUE,TRUE,TRUE,manual_check_disregards_restrictions_employment
capital_and_income_contribution_required,FALSE,FALSE,FALSE,capital_and_income_contribution_required
capital_and_income_contribution_required,TRUE,FALSE,FALSE,manual_check_disregards
capital_and_income_contribution_required,FALSE,TRUE,FALSE,manual_check_required
capital_and_income_contribution_required,FALSE,FALSE,TRUE,manual_check_employment
capital_and_income_contribution_required,TRUE,TRUE,FALSE,manual_check_disregards_restrictions
capital_and_income_contribution_required,TRUE,FALSE,TRUE,manual_check_disregards_employment
capital_and_income_contribution_required,FALSE,TRUE,TRUE,manual_check_restrictions_employment
capital_and_income_contribution_required,TRUE,TRUE,TRUE,manual_check_disregards_restrictions_employment
partially_eligible_with_capital_contribution,FALSE,FALSE,FALSE,partially_eligible_capital
partially_eligible_with_capital_contribution,TRUE,FALSE,FALSE,manual_check_disregards
partially_eligible_with_capital_contribution,FALSE,TRUE,FALSE,manual_check_required
partially_eligible_with_capital_contribution,FALSE,FALSE,TRUE,manual_check_employment
partially_eligible_with_capital_contribution,TRUE,TRUE,FALSE,manual_check_disregards_restrictions
partially_eligible_with_capital_contribution,TRUE,FALSE,TRUE,manual_check_disregards_employment
partially_eligible_with_capital_contribution,FALSE,TRUE,TRUE,manual_check_restrictions_employment
partially_eligible_with_capital_contribution,TRUE,TRUE,TRUE,manual_check_disregards_restrictions_employment
partially_eligible_with_income_contribution,FALSE,FALSE,FALSE,partially_eligible_income
partially_eligible_with_income_contribution,TRUE,FALSE,FALSE,manual_check_disregards
partially_eligible_with_income_contribution,FALSE,TRUE,FALSE,manual_check_required
partially_eligible_with_income_contribution,FALSE,FALSE,TRUE,manual_check_employment
partially_eligible_with_income_contribution,TRUE,TRUE,FALSE,manual_check_disregards_restrictions
partially_eligible_with_income_contribution,TRUE,FALSE,TRUE,manual_check_disregards_employment
partially_eligible_with_income_contribution,FALSE,TRUE,TRUE,manual_check_restrictions_employment
partially_eligible_with_income_contribution,TRUE,TRUE,TRUE,manual_check_disregards_restrictions_employment
partially_eligible_with_capital_contribution_with_income_contribution,FALSE,FALSE,FALSE,partially_eligible_capital_income
partially_eligible_with_capital_contribution_with_income_contribution,TRUE,FALSE,FALSE,manual_check_disregards
partially_eligible_with_capital_contribution_with_income_contribution,FALSE,TRUE,FALSE,manual_check_required
partially_eligible_with_capital_contribution_with_income_contribution,FALSE,FALSE,TRUE,manual_check_employment
partially_eligible_with_capital_contribution_with_income_contribution,TRUE,TRUE,FALSE,manual_check_disregards_restrictions
partially_eligible_with_capital_contribution_with_income_contribution,TRUE,FALSE,TRUE,manual_check_disregards_employment
partially_eligible_with_capital_contribution_with_income_contribution,FALSE,TRUE,TRUE,manual_check_restrictions_employment
partially_eligible_with_capital_contribution_with_income_contribution,TRUE,TRUE,TRUE,manual_check_disregards_restrictions_employment
manual_check_required,FALSE,FALSE,FALSE,manual_check_required
manual_check_required,TRUE,FALSE,FALSE,manual_check_disregards
manual_check_required,FALSE,TRUE,FALSE,manual_check_required
manual_check_required,FALSE,FALSE,TRUE,eligible_manual_check_employment
manual_check_required,TRUE,TRUE,FALSE,manual_check_disregards_restrictions
manual_check_required,TRUE,FALSE,TRUE,manual_check_disregards_employment
manual_check_required,FALSE,TRUE,TRUE,manual_check_restrictions_employment
manual_check_required,TRUE,TRUE,TRUE,manual_check_disregards_restrictions_employment